"user" "hotel"
"3274" 860 23
"14210" 3716 56
"10056" 2641 52
"16553" 4363 56
"428" 109 17
"16660" 4396 59
"1281" 324 60
"14881" 3896 4
"4948" 1311 46
"3211" 844 35
"7431" 1942 56
"16667" 4398 63
"13152" 3442 18
"5028" 1333 16
"7863" 2068 7
"13869" 3648 50
"15113" 3956 25
"3006" 788 60
"13788" 3628 59
"9867" 2586 50
"15156" 3973 41
"13714" 3603 59
"1150" 303 45
"16301" 4284 32
"2242" 588 11
"16255" 4268 35
"11057" 2879 63
"1744" 447 35
"9672" 2536 63
"11922" 3109 43
"15637" 4099 38
"13536" 3557 26
"5168" 1369 17
"7099" 1847 61
"15143" 3968 12
"783" 204 62
"7664" 2007 60
"7596" 1990 61
"14928" 3906 59
"2911" 770 42
"8954" 2365 59
"17070" 4500 28
"10061" 2643 16
"7369" 1922 43
"8746" 2309 5
"1078" 284 58
"11261" 2929 13
"8491" 2237 31
"4038" 1068 56
"9052" 2387 37
"11697" 3046 60
"453" 117 51
"16886" 4458 56
"15687" 4112 43
"2450" 639 15
"6653" 1735 26
"5368" 1423 39
"6630" 1730 16
"16836" 4446 29
"14164" 3702 59
"5210" 1378 15
"6280" 1647 6
"7647" 2001 39
"8679" 2291 1
"1628" 413 2
"4918" 1301 17
"4566" 1208 13
"12095" 3148 38
"1709" 439 60
"5264" 1396 14
"15185" 3980 56
"5316" 1409 33
"15638" 4099 43
"3958" 1044 14
"3550" 937 26
"14230" 3720 36
"16878" 4455 2
"16489" 4345 4
"12330" 3206 6
"6281" 1647 20
"17040" 4490 6
"9108" 2400 6
"1300" 327 2
"4144" 1095 32
"12291" 3195 56
"6576" 1713 34
"2168" 569 39
"15482" 4055 56
"1316" 330 53
"10731" 2803 65
"6529" 1701 53
"16314" 4289 66
"11185" 2914 3
"11813" 3080 55
"12119" 3153 8
"10346" 2701 55
"4621" 1220 9
"3187" 839 60
"756" 197 58
"434" 111 8
"13441" 3531 29
"3317" 873 45
"16202" 4252 6
"14914" 3903 39
"10314" 2694 44
"807" 209 28
"2746" 722 17
"14665" 3833 3
"7374" 1922 38
"11859" 3089 17
"664" 171 26
"805" 209 59
"5229" 1386 23
"16921" 4467 66
"4214" 1117 60
"10488" 2736 11
"1239" 311 38
"17095" 4508 52
"9988" 2623 1
"8603" 2268 13
"6800" 1771 13
"4663" 1229 12
"3297" 867 55
"8211" 2162 63
"5751" 1524 33
"1470" 370 26
"1765" 455 55
"12527" 3263 27
"13891" 3653 46
"15355" 4026 13
"789" 206 60
"3942" 1041 55
"16897" 4461 10
"7290" 1904 3
"1849" 478 43
"9795" 2564 3
"8376" 2203 39
"5559" 1468 37
"7384" 1926 3
"8116" 2137 56
"12713" 3311 43
"16143" 4234 7
"6366" 1663 55
"16742" 4418 55
"2867" 758 2
"802" 209 63
"13914" 3661 54
"12077" 3146 47
"1349" 340 61
"7554" 1977 37
"9724" 2547 57
"9906" 2596 63
"3121" 823 66
"2766" 727 4
"11538" 3004 36
"11262" 2929 29
"1824" 471 3
"10026" 2633 37
"6818" 1778 39
"9377" 2465 20
"2691" 707 59
"16458" 4335 7
"282" 75 49
"5760" 1524 17
"182" 50 23
"5407" 1433 41
"12287" 3195 60
"6833" 1781 60
"15045" 3938 56
"11935" 3114 47
"2278" 595 13
"6675" 1740 23
"14740" 3854 17
"9360" 2460 63
"13406" 3523 47
"9612" 2518 8
"11610" 3023 29
"799" 209 41
"13056" 3410 60
"6402" 1669 56
"9692" 2541 4
"5065" 1340 3
"3377" 889 60
"6312" 1652 8
"14056" 3678 26
"119" 35 13
"6251" 1641 59
"781" 204 56
"12152" 3161 15
"10506" 2742 8
"9560" 2504 55
"14144" 3696 66
"1981" 517 19
"2079" 543 46
"8914" 2354 28
"9584" 2509 46
"15779" 4137 49
"3039" 799 2
"11842" 3083 46
"16066" 4213 13
"16715" 4411 53
"13952" 3669 17
"3176" 837 35
"14045" 3678 9
"8097" 2132 48
"14398" 3768 62
"11746" 3061 2
"12025" 3134 26
"1049" 274 59
"6545" 1704 60
"12193" 3172 28
"2585" 677 64
"12022" 3134 10
"10852" 2826 6
"3467" 915 11
"12206" 3174 62
"2769" 728 63
"14041" 3678 58
"11001" 2866 26
"10980" 2861 18
"4240" 1121 60
"11992" 3125 6
"14733" 3852 8
"6394" 1667 15
"13701" 3600 18
"12934" 3380 56
"6782" 1764 35
"11084" 2887 51
"1906" 494 19
"15174" 3978 59
"4867" 1285 28
"8864" 2340 38
"8467" 2230 55
"6369" 1663 32
"13563" 3565 56
"10914" 2839 37
"4886" 1291 23
"2617" 685 66
"13135" 3436 15
"5944" 1570 28
"12249" 3186 48
"2664" 699 59
"4622" 1221 3
"7341" 1920 50
"6712" 1750 56
"14847" 3886 9
"17014" 4484 29
"2393" 622 43
"7272" 1897 56
"2959" 779 53
"3803" 1007 23
"10344" 2701 45
"1548" 391 61
"9648" 2530 6
"16233" 4260 2
"1861" 482 26
"538" 139 28
"16416" 4322 18
"15572" 4082 16
"8510" 2242 39
"11181" 2912 37
"4810" 1264 52
"14633" 3822 26
"3602" 953 7
"12768" 3329 23
"6162" 1620 9
"5539" 1462 37
"15536" 4072 43
"9993" 2625 56
"16224" 4259 56
"2733" 718 60
"16632" 4392 37
"8643" 2278 64
"321" 84 41
"9082" 2393 13
"7419" 1939 14
"1889" 490 14
"1880" 488 60
"2760" 725 2
"11719" 3052 13
"9014" 2378 39
"7680" 2010 63
"9951" 2610 60
"17188" 4536 16
"12605" 3285 50
"4013" 1061 6
"1351" 341 22
"10952" 2852 39
"12884" 3365 4
"10289" 2688 2
"15554" 4077 6
"3522" 929 39
"14826" 3882 57
"1665" 424 49
"2731" 718 58
"11851" 3086 42
"16382" 4309 15
"3687" 975 7
"13427" 3528 37
"14109" 3689 57
"3081" 812 28
"5616" 1483 2
"15108" 3954 39
"13819" 3635 26
"14775" 3865 17
"13443" 3532 55
"1044" 274 66
"3776" 1003 12
"4853" 1280 45
"10548" 2756 45
"4881" 1289 15
"619" 159 14
"7277" 1898 60
"6873" 1791 54
"7458" 1948 59
"10784" 2808 41
"13754" 3616 60
"16808" 4437 60
"2773" 730 28
"1416" 355 14
"5679" 1500 60
"9616" 2519 60
"6417" 1674 35
"6186" 1626 13
"6232" 1637 56
"7322" 1912 50
"5332" 1415 43
"13415" 3525 37
"6688" 1743 42
"10791" 2810 47
"14037" 3678 60
"895" 233 18
"11832" 3081 39
"6600" 1721 56
"5976" 1579 56
"11333" 2951 45
"10272" 2683 34
"5485" 1449 35
"17135" 4518 14
"16732" 4416 59
"6573" 1712 37
"12175" 3168 34
"7330" 1915 56
"3541" 935 16
"3002" 787 51
"10933" 2846 34
"6405" 1671 56
"3711" 983 47
"16502" 4347 39
"13185" 3453 39
"2637" 691 59
"1218" 306 60
"15071" 3945 39
"3066" 808 32
"5051" 1336 39
"7744" 2031 6
"8580" 2263 46
"13522" 3554 60
"11085" 2888 44
"6651" 1735 5
"1313" 330 59
"13818" 3635 12
"10923" 2842 37
"13678" 3594 64
"8237" 2170 53
"17048" 4494 11
"5069" 1341 14
"10231" 2671 4
"16332" 4294 33
"4827" 1271 63
"13746" 3613 39
"3004" 787 59
"4375" 1158 23
"3243" 853 44
"15542" 4073 37
"3469" 915 21
"6756" 1756 37
"4543" 1202 4
"13390" 3521 16
"11534" 3004 22
"3717" 984 13
"7895" 2077 56
"11298" 2939 5
"10091" 2651 13
"11772" 3067 15
"6118" 1615 6
"493" 128 6
"11675" 3042 56
"8275" 2175 59
"3755" 996 35
"2448" 638 23
"16881" 4456 39
"11121" 2897 17
"7582" 1987 12
"15983" 4187 49
"2963" 781 13
"4991" 1323 13
"785" 205 60
"560" 142 3
"1460" 367 56
"13473" 3541 2
"15680" 4111 66
"14707" 3847 17
"9199" 2421 48
"9448" 2478 38
"14100" 3688 62
"12198" 3173 18
"6730" 1753 48
"12544" 3267 60
"9471" 2484 12
"1771" 456 17
"3943" 1041 27
"16662" 4397 3
"11014" 2867 6
"17049" 4494 45
"10021" 2631 9
"924" 244 57
"3865" 1026 29
"8125" 2139 23
"15681" 4111 33
"2405" 625 27
"17154" 4524 60
"6551" 1706 8
"10839" 2823 45
"12966" 3389 27
"8867" 2341 4
"13848" 3640 16
"12680" 3300 28
"6226" 1636 57
"12143" 3159 39
"16049" 4206 6
"4043" 1069 62
"9067" 2390 49
"6685" 1743 47
"9683" 2539 39
"14021" 3678 5
"14258" 3730 56
"11162" 2907 25
"511" 129 41
"9737" 2551 56
"9890" 2594 37
"9746" 2555 2
"11758" 3064 54
"7482" 1955 63
"4577" 1211 3
"10403" 2715 7
"7882" 2073 46
"9144" 2411 3
"3745" 993 56
"8527" 2246 17
"5614" 1482 39
"13632" 3585 37
"9402" 2468 23
"14064" 3680 53
"6165" 1620 1
"7992" 2101 4
"13357" 3512 10
"7692" 2012 37
"5800" 1530 60
"16906" 4462 6
"5087" 1348 56
"2410" 627 15
"6758" 1757 46
"12562" 3273 28
"15553" 4077 14
"11969" 3122 12
"8989" 2374 34
"13908" 3659 38
"3499" 923 37
"3808" 1007 48
"7213" 1883 6
"6197" 1629 57
"16745" 4419 14
"12955" 3385 53
"11811" 3080 1
"11701" 3048 56
"3900" 1035 56
"3347" 882 39
"8254" 2171 2
"16413" 4321 3
"15543" 4073 63
"7924" 2085 16
"3683" 974 26
"6001" 1587 13
"6145" 1620 14
"6269" 1644 14
"12113" 3151 28
"6779" 1763 56
"10691" 2793 15
"9260" 2433 59
"3345" 881 23
"14998" 3926 62
"11176" 2911 17
"9367" 2463 17
"4756" 1256 17
"7921" 2085 48
"10855" 2827 17
"5374" 1425 64
"1427" 358 52
"1822" 470 60
"5200" 1376 52
"14951" 3913 2
"11836" 3082 4
"6609" 1723 38
"15083" 3946 60
"11102" 2893 35
"8379" 2204 61
"14476" 3786 43
"17064" 4499 63
"2399" 624 32
"1647" 417 57
"10270" 2682 32
"2555" 671 27
"4433" 1176 30
"16891" 4459 33
"11492" 2992 10
"6123" 1616 41
"5639" 1492 17
"10557" 2760 37
"4360" 1154 3
"294" 75 60
"14155" 3699 56
"10478" 2735 24
"8676" 2290 38
"10397" 2713 60
"4770" 1258 46
"12704" 3308 20
"13020" 3403 56
"772" 201 54
"14696" 3844 39
"14976" 3919 43
"929" 244 33
"6595" 1720 53
"14518" 3797 59
"14780" 3867 8
"2176" 572 55
"5300" 1406 39
"9013" 2378 17
"891" 232 56
"8586" 2263 3
"5749" 1524 6
"9592" 2513 56
"5418" 1435 37
"3015" 791 41
"10524" 2747 55
"14558" 3807 33
"4090" 1084 12
"11118" 2896 3
"13786" 3627 46
"16043" 4204 55
"13031" 3408 17
"753" 196 4
"4758" 1256 34
"6537" 1702 15
"9142" 2410 4
"31" 9 50
"8803" 2320 52
"6879" 1792 46
"1901" 492 2
"6415" 1673 43
"12766" 3329 24
"86" 26 17
"10127" 2656 36
"13888" 3653 51
"5862" 1544 62
"413" 106 16
"3718" 984 50
"914" 240 16
"923" 243 52
"2640" 692 48
"2581" 676 57
"15433" 4045 62
"5503" 1453 26
"13865" 3646 62
"11087" 2888 57
"9810" 2570 60
"13883" 3652 56
"3663" 967 60
"4923" 1303 14
"8139" 2144 55
"5903" 1556 60
"9593" 2513 60
"1182" 303 10
"2932" 774 49
"1200" 303 18
"12885" 3366 42
"6478" 1693 60
"14936" 3909 56
"4054" 1073 37
"16075" 4216 46
"15788" 4137 56
"4092" 1084 60
"7842" 2063 33
"3578" 944 42
"11694" 3045 38
"5214" 1380 38
"300" 78 2
"9188" 2418 3
"11417" 2972 55
"10631" 2777 15
"1825" 471 2
"16348" 4300 36
"11649" 3035 39
"11567" 3009 7
"1881" 488 51
"13766" 3620 56
"4164" 1103 32
"6572" 1712 18
"16738" 4417 39
"5178" 1372 5
"11418" 2972 46
"3764" 999 37
"16442" 4331 25
"16877" 4455 55
"3141" 831 26
"11792" 3077 19
"4258" 1126 41
"1041" 273 24
"10121" 2656 9
"3144" 832 6
"963" 252 24
"13490" 3544 56
"16851" 4452 31
"13401" 3523 66
"10466" 2731 57
"14612" 3816 35
"16105" 4224 37
"14781" 3867 11
"9491" 2489 63
"11750" 3061 18
"16840" 4448 3
"2076" 543 2
"12986" 3396 12
"534" 137 6
"8533" 2249 14
"16608" 4385 42
"9286" 2443 53
"4830" 1272 29
"7603" 1992 38
"9871" 2587 14
"14991" 3924 11
"7590" 1990 15
"14552" 3806 66
"13150" 3441 10
"6603" 1722 39
"5897" 1554 52
"2942" 777 37
"4304" 1142 42
"5155" 1367 52
"4437" 1178 27
"673" 173 60
"6574" 1713 63
"9335" 2454 39
"4072" 1077 63
"8882" 2345 17
"3292" 865 55
"1573" 397 2
"3233" 850 37
"5295" 1406 66
"14202" 3714 22
"9277" 2439 16
"5164" 1367 43
"10944" 2850 6
"11671" 3040 56
"1000" 264 15
"2670" 701 34
"6516" 1698 49
"2879" 762 61
"2781" 732 6
"1829" 473 15
"9210" 2423 60
"10746" 2805 39
"14674" 3836 66
"16557" 4365 8
"8066" 2124 33
"2822" 744 15
"524" 133 2
"15981" 4187 60
"6965" 1812 34
"6192" 1627 14
"15866" 4155 64
"1323" 332 37
"7880" 2072 28
"6295" 1650 41
"6078" 1609 42
"6848" 1785 17
"8693" 2295 56
"5968" 1578 6
"12207" 3175 64
"9675" 2537 17
"16912" 4465 47
"11410" 2969 22
"11925" 3110 56
"1414" 355 41
"11230" 2922 44
"9909" 2597 18
"3049" 802 38
"12700" 3306 56
"8981" 2371 28
"14341" 3752 60
"8830" 2330 59
"10745" 2805 19
"16313" 4289 13
"10861" 2827 46
"1718" 442 10
"5143" 1365 60
"10181" 2656 2
"4339" 1150 18
"5595" 1477 18
"11385" 2964 55
"4202" 1115 61
"11747" 3061 62
"16961" 4474 45
"6472" 1692 18
"10604" 2774 17
"12933" 3379 11
"13197" 3456 24
"15377" 4030 28
"7839" 2062 42
"9979" 2620 6
"1560" 394 28
"10588" 2770 17
"11257" 2927 39
"14106" 3689 3
"15092" 3949 13
"5105" 1352 63
"4549" 1205 56
"1544" 390 60
"1386" 349 38
"11109" 2894 7
"10250" 2677 41
"12511" 3257 37
"9783" 2561 12
"16804" 4436 56
"10911" 2838 43
"16370" 4304 38
"6201" 1630 13
"1233" 309 37
"12069" 3143 64
"10148" 2656 14
"10223" 2668 31
"8385" 2205 51
"4028" 1066 13
"3134" 829 26
"10552" 2758 6
"14837" 3884 4
"6534" 1702 39
"10300" 2692 17
"12785" 3334 37
"9085" 2394 56
"2132" 556 17
"3009" 789 63
"2154" 564 26
"870" 224 37
"5052" 1336 49
"12167" 3165 39
"435" 111 59
"14441" 3778 6
"10467" 2731 39
"1228" 307 61
"6958" 1811 57
"5619" 1484 13
"2757" 724 4
"14867" 3892 65
"9258" 2432 39
"5803" 1531 30
"8630" 2275 16
"1130" 300 17
"14094" 3685 3
"15123" 3960 38
"10035" 2635 18
"2560" 671 14
"72" 21 63
"8366" 2201 56
"3792" 1006 59
"16709" 4408 50
"10265" 2682 48
"4182" 1109 60
"5661" 1497 56
"8582" 2263 6
"13449" 3535 6
"14607" 3814 28
"1075" 283 39
"7568" 1982 41
"14255" 3729 47
"3286" 863 60
"2643" 693 39
"8242" 2170 54
"7019" 1829 59
"556" 142 8
"16141" 4233 18
"4862" 1284 45
"11031" 2871 59
"6989" 1822 2
"12872" 3361 66
"14204" 3715 52
"16537" 4358 46
"8872" 2342 14
"12652" 3293 56
"7016" 1829 11
"15517" 4068 14
"876" 227 9
"7656" 2005 61
"9548" 2504 10
"14831" 3882 10
"10633" 2778 55
"6263" 1643 28
"13620" 3581 42
"13115" 3430 38
"6357" 1663 28
"12715" 3311 37
"4486" 1189 24
"15916" 4172 39
"13832" 3638 56
"2527" 660 17
"8717" 2302 55
"4380" 1159 56
"1232" 309 33
"3613" 957 36
"9729" 2548 48
"6074" 1608 19
"4172" 1107 18
"15426" 4043 60
"379" 93 45
"7057" 1836 62
"1792" 461 42
"14189" 3710 43
"11863" 3089 63
"13417" 3526 17
"5075" 1344 37
"5066" 1340 13
"16894" 4460 12
"13941" 3666 33
"3375" 888 66
"8040" 2116 17
"4315" 1144 29
"6252" 1641 50
"6914" 1801 10
"3530" 933 46
"7161" 1865 20
"5456" 1443 21
"16037" 4203 37
"13634" 3585 65
"3513" 926 24
"14741" 3854 59
"1347" 340 8
"1436" 361 9
"11285" 2935 39
"719" 186 7
"3329" 876 60
"14277" 3734 12
"13093" 3424 8
"13463" 3538 4
"12245" 3185 7
"12181" 3168 58
"11995" 3126 17
"11557" 3009 52
"8925" 2357 56
"4302" 1142 41
"7734" 2027 50
"7724" 2022 44
"7894" 2077 52
"738" 190 6
"14693" 3843 3
"12088" 3148 57
"3017" 792 16
"11936" 3114 55
"10644" 2780 26
"362" 88 38
"6584" 1717 14
"16343" 4298 18
"5715" 1513 41
"7417" 1938 17
"3268" 859 17
"9734" 2550 53
"13953" 3669 39
"11999" 3127 33
"746" 193 13
"5327" 1413 4
"4548" 1204 4
"15158" 3973 10
"3075" 810 50
"16708" 4408 61
"17076" 4501 50
"14559" 3807 17
"14785" 3867 21
"7848" 2064 54
"6155" 1620 17
"15595" 4087 60
"10399" 2714 62
"16205" 4254 17
"1516" 382 4
"6729" 1753 47
"4142" 1095 37
"8160" 2151 51
"10678" 2789 60
"16783" 4431 11
"3444" 907 55
"1045" 274 17
"2173" 571 29
"12089" 3148 45
"4779" 1259 39
"9427" 2473 15
"12859" 3357 47
"6778" 1763 37
"205" 55 13
"13097" 3425 49
"7305" 1907 10
"6646" 1733 57
"16774" 4429 56
"633" 164 45
"743" 192 15
"3471" 916 9
"9501" 2490 39
"1746" 448 35
"13836" 3639 15
"4782" 1259 47
"12191" 3171 46
"8325" 2189 13
"5223" 1383 60
"12150" 3160 63
"2825" 745 57
"4006" 1059 29
"9060" 2389 2
"16228" 4260 38
"6948" 1807 4
"5278" 1400 63
"9520" 2496 3
"826" 210 56
"5542" 1463 21
"2346" 609 45
"9600" 2515 56
"7819" 2056 50
"10038" 2636 56
"8802" 2320 49
"10472" 2733 3
"12503" 3255 56
"8060" 2123 9
"7699" 2014 56
"2127" 555 17
"8078" 2126 60
"5102" 1350 39
"9793" 2564 42
"6517" 1698 41
"5839" 1539 17
"11056" 2879 2
"13092" 3424 45
"1273" 321 4
"11504" 2995 4
"17225" 4544 47
"13084" 3421 17
"8915" 2355 66
"7326" 1914 48
"14673" 3836 28
"12569" 3274 9
"13131" 3435 7
"15590" 4085 11
"16200" 4251 27
"6282" 1648 39
"259" 68 60
"5728" 1516 18
"13899" 3655 33
"15875" 4157 2
"1327" 333 4
"11520" 3000 8
"10143" 2656 45
"16135" 4231 51
"8641" 2277 2
"2785" 733 60
"13228" 3469 2
"5348" 1418 26
"8985" 2372 66
"9870" 2586 16
"5434" 1439 17
"1736" 446 17
"6168" 1621 27
"650" 168 56
"2673" 702 35
"16648" 4395 27
"8886" 2347 56
"16999" 4482 39
"966" 253 13
"6711" 1749 18
"11551" 3008 33
"9439" 2477 60
"14479" 3786 54
"11443" 2981 55
"11726" 3053 6
"14901" 3901 41
"7466" 1950 5
"10298" 2691 47
"3380" 889 56
"3820" 1010 4
"8589" 2264 2
"8031" 2111 26
"13964" 3671 10
"7130" 1857 10
"8033" 2112 6
"15051" 3940 24
"4651" 1226 57
"5040" 1334 56
"9589" 2511 49
"16943" 4471 30
"3044" 800 52
"2747" 723 27
"7541" 1972 12
"103" 31 60
"13743" 3612 60
"3165" 835 4
"10398" 2713 64
"1353" 342 24
"11361" 2958 22
"14694" 3843 35
"14579" 3811 18
"15812" 4141 18
"15781" 4137 41
"16168" 4242 60
"13857" 3643 52
"1014" 268 24
"8418" 2216 12
"6627" 1730 46
"5012" 1328 3
"12695" 3305 60
"14461" 3784 53
"5621" 1485 37
"13391" 3522 60
"813" 210 20
"9752" 2557 3
"2920" 772 4
"9027" 2381 60
"12684" 3301 56
"9590" 2512 37
"15435" 4045 18
"13533" 3556 43
"14834" 3883 59
"13696" 3599 49
"5425" 1438 10
"12219" 3179 10
"9742" 2553 26
"4325" 1146 56
"6214" 1633 56
"6732" 1753 45
"10979" 2861 6
"2851" 752 20
"10248" 2676 57
"3366" 888 45
"11516" 2999 39
"13211" 3461 20
"11797" 3079 31
"16955" 4472 64
"10447" 2724 38
"9016" 2378 61
"12072" 3144 56
"9104" 2398 6
"13838" 3639 56
"12675" 3299 49
"9005" 2377 17
"106" 32 24
"6138" 1619 61
"6827" 1780 6
"5652" 1495 53
"7319" 1912 14
"671" 172 53
"14713" 3848 26
"4080" 1080 41
"1022" 269 27
"51" 17 56
"5482" 1448 61
"243" 65 16
"10359" 2706 46
"1345" 340 54
"4406" 1167 21
"2783" 732 39
"14275" 3734 15
"17077" 4501 17
"3591" 948 56
"4456" 1184 11
"16807" 4437 2
"527" 134 56
"5110" 1354 7
"11864" 3089 56
"5765" 1524 62
"15759" 4132 12
"15723" 4123 3
"13837" 3639 2
"298" 77 17
"12586" 3278 10
"3837" 1017 13
"3679" 972 66
"1023" 269 66
"16094" 4219 52
"4068" 1076 37
"913" 240 41
"236" 63 4
"10112" 2654 59
"2542" 666 24
"11445" 2982 16
"9317" 2450 56
"9796" 2564 26
"15027" 3932 42
"9065" 2390 15
"1885" 489 61
"9591" 2512 7
"10624" 2776 55
"11295" 2938 55
"7999" 2104 6
"4741" 1254 4
"13657" 3589 45
"16923" 4467 45
"5832" 1537 15
"16253" 4268 37
"10229" 2670 5
"16394" 4315 56
"9219" 2423 66
"313" 81 2
"7808" 2053 26
"5014" 1329 55
"16330" 4293 10
"2373" 618 39
"3251" 855 39
"8752" 2311 14
"9641" 2527 63
"17093" 4507 60
"8561" 2259 6
"9728" 2548 66
"7544" 1973 26
"10672" 2788 45
"1111" 295 17
"15569" 4082 60
"1636" 414 18
"899" 234 39
"11950" 3118 6
"1322" 332 64
"835" 212 39
"2250" 589 60
"7243" 1889 11
"15126" 3961 37
"3227" 849 39
"15181" 3980 39
"15758" 4132 49
"6883" 1793 36
"13969" 3671 20
"11578" 3013 34
"12832" 3349 56
"8406" 2212 40
"3973" 1049 39
"15346" 4024 41
"8938" 2361 42
"12864" 3359 48
"9759" 2557 2
"3373" 888 2
"9936" 2605 60
"11200" 2917 14
"1184" 303 23
"4564" 1207 5
"2811" 740 7
"14926" 3905 59
"8312" 2187 17
"11785" 3074 11
"11614" 3024 28
"12288" 3195 26
"16309" 4287 18
"2633" 689 37
"14629" 3821 66
"14253" 3728 47
"12028" 3134 53
"13212" 3462 7
"13192" 3455 26
"8984" 2371 56
"5854" 1543 26
"3022" 793 6
"12399" 3224 57
"12786" 3334 38
"377" 93 61
"9670" 2535 56
"6435" 1679 39
"5026" 1332 17
"9407" 2469 59
"15487" 4057 33
"12835" 3351 62
"14752" 3857 37
"6657" 1736 26
"9119" 2403 7
"9157" 2414 64
"14663" 3833 45
"13009" 3400 60
"11146" 2902 56
"16152" 4237 24
"8020" 2109 18
"11116" 2895 37
"7581" 1987 4
"12120" 3153 27
"1376" 347 63
"7443" 1945 56
"1591" 404 17
"2484" 649 37
"10863" 2828 51
"16136" 4232 2
"2397" 624 40
"7274" 1898 66
"13022" 3404 14
"465" 121 17
"6597" 1720 11
"6388" 1667 12
"8446" 2225 56
"2156" 565 66
"2251" 590 39
"6927" 1804 23
"13801" 3632 37
"13906" 3658 56
"12327" 3204 46
"2227" 586 10
"3047" 801 55
"6183" 1624 6
"8538" 2251 55
"688" 177 6
"15172" 3977 3
"1996" 522 18
"11850" 3086 3
"12222" 3180 17
"14148" 3697 55
"16225" 4259 38
"1465" 368 18
"10451" 2726 55
"4109" 1087 33
"4040" 1069 17
"4561" 1206 45
"17182" 4535 55
"16512" 4350 20
"6750" 1753 7
"3498" 923 26
"13775" 3624 39
"16360" 4302 17
